dr=0.1, res=10, dw_dR=-0.0856225164965363, relative_error=37.93414961834645
dr=0.1, res=20, dw_dR=-0.08660746607882269, relative_error=38.38202449953869
dr=0.1, res=40, dw_dR=-0.08685399362766633, relative_error=38.494125157922284
dr=0.1, res=80, dw_dR=-0.08691569965526974, relative_error=38.52218403553262
dr=0.1, res=100, dw_dR=-0.08692310563740896, relative_error=38.52555167325781
dr=0.1, res=160, dw_dR=-0.0869311300990755, relative_error=38.52920054511903
dr=0.1, res=320, dw_dR=-0.08693498841818526, relative_error=38.530954994528386dr=0.01, res=10, dw_dR=-0.09128803058978952, relative_error=40.51036417495195
dr=0.01, res=20, dw_dR=-0.10335438172422717, relative_error=45.997158299190346
dr=0.01, res=40, dw_dR=-0.10637663183503399, relative_error=47.37143159566577
dr=0.01, res=80, dw_dR=-0.10554798752741013, relative_error=46.99463162792921
dr=0.01, res=100, dw_dR=-0.10553080593920794, relative_error=46.98681884043923
dr=0.01, res=160, dw_dR=-0.10573277366332234, relative_error=47.07865731833616
dr=0.01, res=320, dw_dR=-0.10568038037110372, relative_error=47.05483311459041
dr=0.001, res=10, dw_dR=-0.09019909954524619, relative_error=40.01520699028748
dr=0.001, res=20, dw_dR=-0.2112236467904094, relative_error=95.0473179669187
dr=0.001, res=40, dw_dR=-0.24153062746662401, relative_error=108.82846536143389
dr=0.001, res=80, dw_dR=-0.24911860589035828, relative_error=112.27886017974556
dr=0.001, res=100, dw_dR=-0.2500294748081777, relative_error=112.69304920595245
dr=0.001, res=160, dw_dR=-0.25101631852361694, relative_error=113.14178538469335
dr=0.001, res=320, dw_dR=-0.2514907910039499, relative_error=113.35753683997577
